;;;RELAT‡RIO DE PEDIDO DE COMPRA;;;;JANEIRO/2019;;;;;;;
;;;;;;;;;;;;;;
NßOC;Linha;Data;Descriá∆o;Qtde;Vlr.Unit.;Vlr.Total;Fornecedor;;;;;;;
37452;1;18/01/19;Renovaá∆o de assinatura da Revista Vocà S/A Per°odo 01.02.19 Ö 31.01.2020 Local de entrega: Rua Agueda Gonáalves, 240 - Jardim Pedro Gonáalves - Tabo∆o da Serra - SP Att.: Sra. Maria Luiza Chirstiani - Bibliotec†ria.;1;202,07;202,07;ABRIL COMUNICAÄÂES S/A;;;;;;;
37451;1;18/01/19;AQUISIÄ«O DE CERTIFICADO DIGITAL e-CPF (e-CPF A3 em Cart∆o - 36 Meses)       USUARIO: PEDRO ZERBINATTI NETO - CPF 147.008.328-00;1;138,75;138,75;IMPRENSA OFICIAL DO ESTADO S.A - IMESP;;;;;;;
37448;1;17/01/19;Prestaá∆o de serviáos de limpeza geral composta por †reas de pisos, paredes, vidros internos e externos sem exposiá∆o de risco e sanit†rios, com o fornecimento de m∆o de obra e produtos/materiais de baixa toxicidade. †rea £til: 8.656 m2;8200,72;1,00;8.200,72;CLEANSERV FACILITY SERVIÄOS DE LIMPEZA EIRELI - ME;;;;;;;
37444;1;16/01/19;Porta de madeira semioca lisa para pintura, encabeáada em todos os lados (laterais, superior e inferior) com sarrafo de no m°nimo 25 mm, sem batente e sem ferragens, confeccionadas nas medidas 2000 mm de altura, 795 mm de largura e 35 mm.;2;175,00;350,00;PORTAL O REI DAS PORTAS EIRELI EPP;;;;;;;
37444;2;16/01/19;Porta de madeira semioca lisa para pintura, encabeáada em todos os lados (laterais, superior e inferior) com sarrafo de no m°nimo 25 mm, sem batente e sem ferragens, confeccionadas nas medidas 2070 mm de altura, 795 mm de largura e 35 mm;2;175,00;350,00;PORTAL O REI DAS PORTAS EIRELI EPP;;;;;;;
37444;3;16/01/19;Porta de madeira semioca lisa para pintura, encabeáada em todos os lados (laterais, superior e inferior) com sarrafo de no m°nimo 25 mm, sem batente e sem ferragens, confeccionadas nas medidas 2080 mm de altura, 710 mm de largura e 35 mm;1;180,00;180,00;PORTAL O REI DAS PORTAS EIRELI EPP;;;;;;;
37444;4;16/01/19;Porta de madeira semioca lisa para pintura, encabeáada em todos os lados (laterais, superior e inferior) com sarrafo de no m°nimo 25 mm, sem batente e sem ferragens, confeccionadas nas medidas 2080 mm de altura, 795 mm de largura e 35 mm;1;175,00;175,00;PORTAL O REI DAS PORTAS EIRELI EPP;;;;;;;
37442;2;15/01/19;Barramento de Fase para Disjuntores DIN Trif†sico 80A 220/440V fraá∆o m°nima de 1m (Referància Steck S3F1000B).;4;116,50;466,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;3;15/01/19;Caixa Pl†stica Cinza de qualidade igual ou superior ao mod.BX1/1/Sibratec com 1 Furo 22mm - Dimens‰es: 76x70x65mm (HxLxP).;10;7,80;78,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;4;15/01/19;Caixa Pl†stica Cinza de qualidade igual ou superior ao mod.BX1/2/Sibratec com 2 Furos 22mm - Dimens‰es: 110x70x65mm (HxLxP).;8;9,20;73,60;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;5;15/01/19;Caixa Pl†stica Cinza de qualidade igual ou superior ao mod.BX1/3/Sibratec com 3 Furos 22mm - Dimens‰es: 148x70x65mm (HxLxP).;8;11,50;92,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;6;15/01/19;Caixa Pl†stica Cinza de qualidade igual ou superior ao mod.BX1/4/Sibratec com 4 Furos 22mm - Dimens‰es: 185x70x65mm (HxLxP).;8;12,60;100,80;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;7;15/01/19;Chave Seletora de qualidade igual ou superior ao mod.XB2-BG33/Sibratec - 3 Posiáoes com Chave Metalica 1NA/10A + 1NF/10A com padr∆o de furaá∆o de 22mm e grau de proteá∆o IP40.;10;20,20;202,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;8;15/01/19;Chave Seletora de qualidade igual ou superior ao mod.XB2-ED21/Sibratec - 2 Posiáoes Plast. 1NA/10A + 1NF/10A Haste Curta com padr∆o de furaá∆o de 22mm e grau de proteá∆o IP40.;12;18,60;223,20;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;9;15/01/19;Chave Seletora de qualidade igual ou superior ao mod.XB2-ED33/Sibratec - 3 Posiáoes Plast. 2NA/10A Haste Curta com padr∆o de furaá∆o de 22mm e grau de proteá∆o IP40.;12;15,00;180,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;10;15/01/19;RelÇ de Impulso Modular 2NA/16A 220V-60Hz de qualidade igual ou superior ao mod.20.23.8.230.4000/Finder.;5;135,00;675,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;11;15/01/19;Sinaleiro LED de qualidade igual ou superior ao mod.AD22-B/Sibratec Azul 127/220Vca ù22mm.;10;9,00;90,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;12;15/01/19;Sinaleiro LED de qualidade igual ou superior ao mod.AD22-G/Sibratec Verde 127/220Vca ù22mm.;10;9,00;90,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;13;15/01/19;Sinaleiro LED de qualidade igual ou superior ao mod.AD22-R/Sibratec Vermelho 127/220Vca ù22mm.;10;9,00;90,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;14;15/01/19;Sinaleiro LED de qualidade igual ou superior ao mod.AD22-W/Sibratec Branco 127/220Vca ù22mm.;10;9,00;90,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;15;15/01/19;Sinaleiro LED de qualidade igual ou superior ao mod.AD22-Y/Sibratec Amarelo 127/220Vca ù22mm.;10;9,00;90,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;16;15/01/19;Tamp∆o de PVC para fechar furo  22mm com arruela de acabamento na cor preta.;10;6,00;60,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;17;15/01/19;Terminal tubular sem ser expandido de compress∆o para cabo 10mm˝ para 1 compress∆o e com furo de atÇ 6mm de diÉmetro, de qualidade igual ou superior ao mod. AT7217 da marca Crimper.;100;0,62;62,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;18;15/01/19;Terminal tubular sem ser expandido de compress∆o para cabo 16mm˝ para 1 compress∆o e com furo de atÇ 6mm de diÉmetro, de qualidade igual ou superior ao mod. AT7223 da marca Crimper.;100;1,10;110,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;19;15/01/19;Terminal tubular sem ser expandido de compress∆o para cabo 25mm˝ para 1 compress∆o e com furo de atÇ 6mm de diÉmetro, de qualidade igual ou superior ao mod. AT7228 da marca Crimper.;100;1,45;145,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;20;15/01/19;Terminal tubular sem ser expandido de compress∆o para cabo 35mm˝ para 1 compress∆o e com furo de atÇ 6mm de diÉmetro, de qualidade igual ou superior ao mod. AT7233 da marca Crimper.;100;2,63;263,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;21;15/01/19;Terminal tubular sem ser expandido de compress∆o para cabo 70mm˝ para 1 compress∆o e com furo de atÇ 10mm de diÉmetro, de qualidade igual ou superior ao mod. AT7254 da marca Crimper.;100;3,90;390,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;22;15/01/19;Termostato de qualidade igual ou superior ao mod.KTS 011  1NA 6A/250V Ajuste: 0¯C a 60C¯.;10;83,00;830,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;23;15/01/19;"Tubo termocontr†til para isolaá∆o de fios e cabos; cor preto; temp.de utilizaá∆o: -55¯C Ö +125¯C; tens∆o de trabalho: 600V; diam. interno expandido m°n. 25,4mm; diam. interno encolhido Max.: 12,7mm; flamabilidade: autoextingu°vel.";10;14,27;142,70;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;24;15/01/19;"Tubo termocontr†til para isolaá∆o de fios e cabos; cor preto; temperatura de utilizaá∆o: -55¯C Ö +125¯C; tens∆o de trabalho: 600V; diam. interno expandido m°nimo 12,7mm; diam. interno encolhido m†ximo: 6,4mm; flamabilidade: autoextingu°vel.";10;2,48;24,80;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;25;15/01/19;Abraáadeira de Nylon Brasfort ou similar Preto 4.8mm x 30cm pacote com 100.;2;19,00;38,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;26;15/01/19;Suporte p/ Keystone  p/espelho em pvc 4x2 c/1 sa°da RJ45. Projeto DETRAN.;500;2,35;1.175,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;27;15/01/19;Abraáadeira de nylon UV 2,52x209mm preta F7019UVPR FrontecˇPT 100 UN.;1;8,60;8,60;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;28;15/01/19;Abraáadeira de nylon UV 4,8x200 preta F7023UVPR FrontecˇPT 100 UN.;1;10,10;10,10;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;29;21/01/19;Barramento de fase para disjuntores DIN Bif†sico 80A 220/440V fraá∆o m°nima de 1m, comprimento 1000 ou 1016mm.;4;60,00;240,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37442;30;21/01/19;Barramento de Fase para disjuntores DIN Monof†sico 80A 220/440V fraá∆o m°nima de 1m, comprimento 1000 ou 1016mm.;4;51,75;207,00;FECVA COMêRCIO DE MATERIAS ELETR‚NICO E FERREGENS LTDA;;;;;;;
37440;1;15/01/19;Bolsa para Porta Estacionamento com cabide (cristal e azul royal) - Material PVC reforáada  com 0,30mm - Medida 9,0x12,0 cm (interno);500;2,35;1.175,00;A.Z.I. INFORMµTICA COMERCIAL LTDA - EPP;;;;;;;
37440;2;15/01/19;Cart∆o Hibrido Acura ® Acucombo ISO Mifare 1K / Prox 125 KHz ® com numeraá∆o de ID externado.(Cart∆o de proximidade ISO Mifare 1K & Prox. Cart∆o RIFID passivo que opera em ambas freqÅàncias: 13,56 MHz e 125 kHz).;1000;6,70;6.700,00;A.Z.I. INFORMµTICA COMERCIAL LTDA - EPP;;;;;;;
37440;3;15/01/19;Cart∆o PVC PrÇ-Impresso 0,45 mm - 2X0;1000;1,02;1.020,00;A.Z.I. INFORMµTICA COMERCIAL LTDA - EPP;;;;;;;
37440;4;15/01/19;Porta Crach† R°gido M6 Vertical Cristal;1000;0,33;330,00;A.Z.I. INFORMµTICA COMERCIAL LTDA - EPP;;;;;;;
37433;1;10/01/19;Higienizaá∆o  dos reservat¢rios de †gua pot†vel da Prodesp, com an†lises de cloro residual e do pH, an†lise bacteriol¢gica, emiss∆o do Atestado de Saneamento;1150;1,00;1.150,00;PERNAMBUCANA DESENTUPIDORA E DEDETIZADORA LTDA;;;;;;;
37432;1;10/01/19;Limpeza, desinfecá∆o e manutená∆o geral de purificadores de †gua marca IBBL, modelo FR-600. 21 pás - Sede 1 pá - Galp∆o da Prodesp 5 pás - DIPOL 1 pá - Detran BV ;0;159,00;0,00;FµBIO TADEU BOSCOVISCH;;;;;;;
37431;1;10/01/19;Treinamento: Captivate;1;1.230,00;1.230,00;SDR TREINAMENTOS LTDA - ME;;;;;;;
37430;1;10/01/19;Certificado digital e-CPF A3, em cart∆o, com validade de tràs anos;2;112,50;225,00;IMPRENSA OFICIAL DO ESTADO S.A - IMESP;;;;;;;
37429;1;09/01/19;Kit Reparo M¢dulo de Freio BRC42 EX FV it1340;1;5.134,42;5.134,42;ELEVADORES ATLAS SHINDLER S/A;;;;;;;
37427;1;08/01/19;Fita antiderrapante, auto-adesiva (tipo lixa), preta, com 5 metros de comprimento e 50mm de largura, referància 3M Safety-Walk - H0001912452, conforme Relat¢rio de Justificativa UPR.173/18.;30;35,00;1.050,00;ADECIL COMERCIAL LTDA;;;;;;;
37425;1;04/01/19;Torqu°metro de estalo, para f†cil leitura, regulagem do torque, calibraá∆o e manutená∆o, acabamento cromado f†cil de limpar.;1;247,95;247,95;DE MEO COMERCIAL IMPORTADORA LTDA;;;;;;;
37425;2;04/01/19;jogos de 20 pontas para parafusadeira modelo DEWALT DWMTCIR20.;2;151,00;302,00;DE MEO COMERCIAL IMPORTADORA LTDA;;;;;;;
37425;3;04/01/19;Parafusadeira modelo DEWALT DCD716D2-BR.;2;629,50;1.259,00;DE MEO COMERCIAL IMPORTADORA LTDA;;;;;;;
37425;4;04/01/19;Talha manual de corrente com capacidade para 1 tonelada.;1;612,00;612,00;DE MEO COMERCIAL IMPORTADORA LTDA;;;;;;;
37424;1;03/01/19;Treinamento in company: NEO4J Inproduction.;1;8.000,00;8.000,00;CLUSTER CONSULTORIA E TREINAMENTO LTDA;;;;;;;
