;;;RELAT‡RIO DE PEDIDO DE COMPRA;;;;JANEIRO/2019;;;;;;;
;;;;;;;;;;;;;;
NßOC;Linha;Data;Descriá∆o;Qtde;Vlr.Unit.;Vlr.Total;Fornecedor;;;;;;;
37472;2;23/01/19;Filtro modelo PD-L medindo 510 x 525 x 25mm, classe G2  ;280;7,80;2.184,00;FILTRAX DO BRASIL LTDA;;;;;;;
37471;1;23/01/19;Assento para vaso sanit†rio, em polipropileno, na forma oval, na Cor branca, compat°vel com bacia sanit†ria de qualquer Fabricante, de modelo convencional;8;14,90;119,20;DAVOP COMERCIAL EIRELI - EPP;;;;;;;
37471;2;23/01/19;Fita veda rosca de 18mm x 50mt;10;4,20;42,00;DAVOP COMERCIAL EIRELI - EPP;;;;;;;
37471;3;23/01/19;Lona pl†stica em bobina preta 4 X 50 mts;2;72,90;145,80;DAVOP COMERCIAL EIRELI - EPP;;;;;;;
37471;4;23/01/19;"Trincha 3""";6;6,00;36,00;DAVOP COMERCIAL EIRELI - EPP;;;;;;;
37471;5;23/01/19;Argamassa colante AC-IIIE. Saco 20kg;25;19,80;495,00;DAVOP COMERCIAL EIRELI - EPP;;;;;;;
37471;6;23/01/19;Cimento Portland Composto. Saco 50kg;20;23,89;477,80;DAVOP COMERCIAL EIRELI - EPP;;;;;;;
37471;7;23/01/19;Textura exterior cinza, latas de 25kg;55;146,99;8.084,45;DAVOP COMERCIAL EIRELI - EPP;;;;;;;
37463;1;22/01/19;ITEM BEC 464478-6 -M‡DULOS DE MEM‡RIA RAM DE  8GB 1333MHZ DDR3  P/ DATEN: DT02 BV2 - BP: 043930 - SERIE: 318918 - RO: INC000002446219. GARANTIA 12 MESES DA DATA DE ENTREGA (BALC«O) ACEITE CDCT;2;241,56;483,12;SISTECNICA COMêRCIO IMP. DE EQUIP. DE INF. LTDA;;;;;;;
37463;2;22/01/19;ITEM BEC 471398-2 // M‡DULO DE MEM‡RIA RAM DE 8GB 1600MHZ DDR3 SODIMM -  P/ HP COMPAQ 8300 ELITE AIO PC - BP: 112831 - SERIE: BRJ4341V4J - RO: INC000002467870 GARANTIA 12 MESES DA DATA DE ENTREGA (BALC«O) ACEITE CDCT;2;252,25;504,50;SISTECNICA COMêRCIO IMP. DE EQUIP. DE INF. LTDA;;;;;;;
37463;3;22/01/19;ITEM BEC 402918-6 // PEN DRIVE 16GB GARANTIA 12 MESES DA DATA DE ENTREGA (BALC«O) ACEITE CDCT;2;17,30;34,60;SISTECNICA COMêRCIO IMP. DE EQUIP. DE INF. LTDA;;;;;;;
